,7024,4357,7030,1792,8995,1169,6266,5275,7108,2980,7017,370,8236,890,8767,1800,8967,5395,8829,5892,8086,2018,7900,7429,2638,7973,7739,974,7940,2072,9971,3367,7850,5439,8243,2129,8419,171,9134,545,8084,5738,7741,1103,9052,2337,6578,5796,7627,2986,7680,5545,7965,3482,8626,3849,9001,3134,7560,4336,7541,2814,7016,6063,7504,4297,8467,3506,9121,3527,6423,3967,8317,668,2470,3009,4526,5450,26,6061,5615,5246,114,5921,252,744,1354,5129,3310,1415,2925,781,5658,1192,7731,1718,3723
1354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,-,-,-,-,-,-,-59(0.9),-,-,-,-,-,-,-,-,-,-,59(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-3(0.9),-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5(0.91),-,-59(0.97),-,-,-,-,58(1.09),-,-,-,-,-,-,-,0(0.9),0.0,-,-,-,-,-,-,-,-,-,-
5129,-,-,0(0.91),-,-,0(0.9),0(0.9),-,0(0.9),45(0.92),56(0.93),0(0.91),-,-,0(0.91),0(0.93),0(0.91),0(0.91),-,59(0.91),59(0.91),59(0.9),-,-,0(0.91),-,0(0.91),59(0.93),59(0.91),0(0.91),-,59(0.94),-,59(0.9),-,-,0(0.91),59(0.97),1(0.9),59(0.91),-,41(0.92),0(0.91),59(0.93),-,0(0.91),-,0(0.91),0(0.91),-,-,-3(0.91),-,60(0.96),-,0(0.9),-,-,0(0.91),0(0.91),0(0.91),59(0.94),0(0.9),58(0.94),45(0.91),0(0.91),0(0.91),0(0.9),-,0(0.92),-5(0.92),-,-59(0.96),59(0.91),0(0.9),-,59(0.91),60(1.24),-,-,59(0.92),60(0.93),0(0.91),0(0.91),-,0(0.91),-,0.0,-,0(0.91),-,-,0(0.91),-60(0.91),-45(0.93),0(0.9),-
3310,-,-,-,0(0.9),-,0(0.9),-,-,-,0(0.91),-3(0.9),0(0.9),-,-,-59(0.93),0(0.91),-,-60(0.95),-,0(0.9),0(0.91),0(0.9),-,-,-,-,-60(0.95),0(0.9),-,-,-,0(0.9),-,-,-,-,-,-,-,-,-,0(0.91),-,0(0.9),-,-,0(0.9),-,0(0.9),-,-,-60(0.9),-,-,-,-60(0.95),-,-,0(0.9),-,-,0(0.9),0(0.9),-1(0.9),0(0.91),-60(0.94),0(0.9),-,-,-1(0.91),-6(0.91),-,-59(1.01),-,-,-59(0.91),-,41(1.14),-,-,0(0.9),-,-,-,-,-59(0.9),-,-,0.0,-,0(0.9),-,-,-,-,-,-
1415,-,0(0.9),0(0.9),0(0.92),0(0.91),0(0.91),0(0.92),0(0.9),0(0.92),0(0.93),-3(0.91),0(0.92),0(0.91),-,-59(0.92),0(0.94),0(0.9),-60(0.95),0(0.9),0(0.91),0(0.91),0(0.9),-,-,0(0.91),0(0.9),-60(0.96),-,0(0.92),0(0.9),-,-,-1(0.91),0(0.91),-,-,0(0.91),58(0.92),1(0.9),-,-,0(0.93),0(0.91),0(0.9),-,0(0.92),-,0(0.9),0(0.92),-,0(0.91),-3(0.92),0(0.91),18(0.9),-,-60(0.94),-,0(0.91),0(0.91),0(0.93),0(0.92),0(0.91),0(0.91),-1(0.91),0(0.91),-60(0.94),0(0.92),0(0.91),0(0.9),0(0.93),-5(0.92),0(0.9),-59(0.98),0(0.9),0(0.91),-59(0.91),0(0.91),60(1.23),-,0(0.9),0(0.91),0(0.91),0(0.91),0(0.92),0(0.9),0(0.92),-,0(0.91),-,0.0,0(0.91),0(0.91),0(0.92),0(0.9),-,0(0.9),0(0.9)
2925,0(0.9),0(0.9),-,0(0.91),0(0.92),0(0.92),0(0.92),0(0.9),0(0.91),0(0.93),-3(0.92),0(0.91),0(0.9),0(0.9),-59(0.94),0(0.94),-,-60(0.95),0(0.91),0(0.91),0(0.91),0(0.91),-,-4(0.91),0(0.92),0(0.92),-60(0.95),0(0.92),0(0.91),-,-,0(0.91),-1(0.91),0(0.91),-,-,0(0.91),0(0.92),-,0(0.92),-,0(0.94),-,0(0.92),-,0(0.91),0(0.9),0(0.9),0(0.92),-,0(0.91),-60(0.92),0(0.9),0(0.91),1(0.9),-60(0.95),-13(0.92),0(0.91),0(0.92),0(0.9),0(0.92),0(0.92),0(0.9),-1(0.92),0(0.91),-60(0.94),0(0.91),-,0(0.91),0(0.93),-60(0.92),1(0.9),-59(0.99),0(0.92),-,-59(0.92),0(0.91),41(1.09),-,1(0.91),0(0.93),0(0.92),0(0.91),0(0.9),0(0.91),-59(0.91),-,-,0(0.9),0(0.91),0.0,0(0.9),0(0.91),0(0.9),-,-,-
781,-,-,-,0(0.91),0(0.9),0(0.9),0(0.91),-,0(0.91),0(0.93),-3(0.91),0(0.91),-,-,-60(0.97),0(0.93),-,-60(0.99),-,0(0.91),0(0.91),0(0.9),-,-,0(0.9),-,-60(0.99),-,0(0.9),-,-,-,-2(0.9),-,-,-60(0.9),0(0.9),-,-,-,-,0(0.92),-,0(0.9),-,-1(0.91),0(0.91),-,0(0.91),-,-1(0.9),-60(0.92),0(0.9),0(0.91),-,-60(0.97),-,0(0.91),0(0.9),0(0.92),0(0.91),0(0.9),0(0.9),-1(0.91),0(0.91),-60(0.97),0(0.91),0(0.91),-,0(0.92),-60(0.94),0(0.9),-59(1.01),-,-,-60(0.94),0(0.91),55(1.17),-,0(0.9),0(0.91),0(0.9),-,-1(0.9),-,-60(0.93),-,-,-,0(0.91),0(0.9),0.0,0(0.91),0(0.9),-,-,0(0.9)
5658,-,-,0(0.9),0(0.91),0(0.9),0(0.91),0(0.91),0(0.9),0(0.91),0(0.93),-3(0.91),0(0.92),0(0.9),-,-59(0.91),0(0.94),-,-60(0.93),0(0.9),0(0.91),0(0.91),0(0.9),-,-,0(0.91),0(0.9),-60(0.94),-,0(0.91),-,-,-,-2(0.9),-,-,-,0(0.91),41(0.92),1(0.9),0(0.9),-,0(0.92),0(0.9),-,-,0(0.91),0(0.9),0(0.9),0(0.92),-,0(0.91),-3(0.91),0(0.91),19(0.9),-,-60(0.93),-,0(0.91),0(0.91),0(0.92),0(0.92),0(0.9),0(0.91),-1(0.9),0(0.91),-60(0.92),0(0.92),0(0.91),0(0.9),0(0.92),-6(0.92),0(0.9),-59(0.97),-,0(0.9),-,0(0.91),58(1.2),-,0(0.9),0(0.91),0(0.9),0(0.91),0(0.91),0(0.9),0(0.91),-,0(0.91),-,0(0.92),0(0.91),0(0.91),0.0,0(0.9),-,-,-
1192,-,-60(0.91),-,0(0.91),0(0.9),-1(0.9),0(0.91),-,0(0.9),0(0.91),-3(0.92),0(0.9),0(0.9),-,-60(0.98),0(0.9),-60(0.9),-60(1.0),0(0.9),0(0.9),0(0.91),0(0.9),-,-5(0.9),0(0.9),0(0.9),-60(0.99),0(0.9),0(0.91),-,-,0(0.9),-,0(0.9),-,-,-,0(0.91),-,0(0.9),-,0(0.91),-,0(0.9),-,-,0(0.9),-,0(0.9),-,0(0.9),-60(0.94),0(0.9),0(0.91),-,-60(0.98),-14(0.91),0(0.91),-,0(0.9),-,0(0.91),-,-1(0.91),0(0.9),-60(0.98),0(0.9),-,0(0.9),-1(0.91),-60(0.96),0(0.9),-59(1.02),0(0.9),-59(0.91),-60(0.95),0(0.91),55(1.09),-,0(0.9),0(0.91),0(0.91),-,-,0(0.9),-60(0.95),-,-60(0.91),-,0(0.9),0(0.9),0(0.9),0(0.9),0.0,-,-,-
7731,-,-60(0.91),-60(0.9),-,-,-,-,-,-,0(0.9),-3(0.91),-,-,-,-60(1.01),-,-60(0.94),-60(1.02),-,0(0.9),0(0.9),-,-,-,-,-,-60(0.99),-,-,-41(0.92),-,-,-,-,-,-60(0.9),-,18(0.9),-,-,-,0(0.9),-,-,-,-,-,-45(0.91),-,-,-,-48(0.95),-,-,-,-60(0.97),-13(0.91),-,-,-,-,-,-,-1(0.9),0(0.9),-60(0.99),-,-,-,-1(0.9),-60(0.99),-,-15(0.95),-,-45(0.91),-60(0.97),-,60(1.12),-45(0.91),-,-,-,-,-,-,-60(0.96),-,-45(0.93),-,-,-,-,-,-,0.0,-,-
1718,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,-60(0.93),-,-,-,-,-,-,-,-,-60(0.94),-,-,0(0.9),-,-,-,-,-,-,-,59(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,0(0.9),-,-,-,-,-,-60(0.93),-,-,-,-1(0.9),-6(0.91),-,-59(0.97),-,-,-,-,60(1.12),-,-,-,-,-,0(0.9),-,-,-,0(0.9),-,0(0.9),-,-,-,-,-,0.0,-
3723,-,-,-,0(0.91),-,-,0(0.9),-,0(0.91),0(0.91),-3(0.9),-,-,-,-59(0.95),0(0.91),-,-60(0.97),-,-,0(0.9),-,-,-,-,-,-60(0.97),-,0(0.9),-,-,-,-,-,-,-,-,-,-,-,-,0(0.91),-,-,-,-,0(0.9),-,0(0.9),-,0(0.9),-60(0.92),0(0.9),0(0.9),-,-60(0.96),-,0(0.9),-,0(0.9),-,0(0.9),-,-1(0.9),0(0.9),-60(0.96),-,-,-,-1(0.91),-60(0.92),-,-59(1.01),-,-,-59(0.92),0(0.9),41(1.1),-,-,0(0.9),0(0.9),-,-,-,-59(0.92),-,-,-,0(0.9),-,0(0.9),-,-,-,-,0.0
